"c1","c2","c3","m1","m2","m3","n1","n2","n3","p1","p2","p3"
19.8498959638788,38.9228913168252,59.2400464138057,-80.4366419004163,-57.8923905340237,-40.6350017530713,14.3016462549926,34.4055684520147,55.02731125543,4.31146721539942,23.6415000842765,43.1319858824931
19.982590340617,40.0514892316568,58.2639288279778,-78.976865235538,-63.1071731064302,-39.133104905544,15.0244202993262,34.5216039881081,54.6521563681942,5.79233130179312,26.1697483907123,45.3581729417957
20.106821672762,39.7090112887647,58.4797949249793,-81.8606861039769,-58.5975471927232,-42.7919072027955,13.2550425577441,34.4474850823963,55.2985317231221,5.52713714516756,24.7154702910492,44.6911417603591
19.6099112291078,39.5805863181082,59.9084067150821,-80.1652880701385,-60.1123344854908,-40.4771048778975,15.2122627812901,31.6623991628691,54.2957250428138,6.1050004261022,25.6005401872542,45.7250240460081
19.8895932404881,39.0046095230838,59.3408009380789,-80.3923476849676,-60.9288511672349,-40.2587113424979,14.490478275373,34.3911356071526,54.7343786129679,6.37815011063635,26.922951992207,45.6533988545511
19.7629787319582,39.3799158535316,59.031258935794,-80.1654480383921,-63.8230096606403,-39.5143024099018,13.953340166301,34.4054566760943,55.335241260215,6.27749379445632,28.2019884579644,44.7638565889233
20.1780179518475,40.4479514780376,59.4274562407624,-81.3390564501276,-61.2274128384083,-41.0432340314821,14.9862580273189,36.839923794403,54.5900183517904,6.5400716674497,26.0523366303034,44.6500488209026
20.2762512329874,39.9309111315168,59.5259576481274,-77.8436517747255,-62.7323938132067,-38.4200809168954,14.4606182164749,34.2981442530644,53.9055690890706,6.25936798100786,26.4766065553803,45.2690882448794
39.9085753004367,20.0333296957298,59.8837180401535,-80.1932565647917,-62.6184462180974,-41.1976066742247,15.2867660711824,34.4933261643513,54.5070802418432,6.06138615655372,25.7850221395799,44.5079813609494
19.4855730742033,39.2282517967796,58.8242097837885,-80.8410411594774,-62.9754835000572,-40.7893240022083,14.7164169504919,54.5283804844436,34.4591933352495,6.34062350957856,26.7778281681074,46.6194333234753
19.5746706752561,39.2042986275713,58.8011587880878,-79.1723542038561,-62.2472691593837,-39.840551544703,14.7307289504769,34.5145860781333,54.3861701625831,7.1366399253342,28.2172408732656,46.1635972420667
17.359929627032,37.5293267736169,56.1747140559767,-80.1368889253829,-64.169720981223,-42.2247900115753,13.1752965553957,34.4555633157509,52.9814374251577,5.15262539188411,25.9597003636055,45.3688866584559
19.784851973485,38.9308039848419,58.4879118880996,-80.9396214883161,-57.185221967743,-42.1556152489248,15.4301499568265,34.5490926516402,56.417051929061,5.23045736282772,24.4823295958738,44.2799281147132
19.9485959518554,39.1034255252336,59.5452877048671,-79.7811941569185,-59.2860934560842,-39.3162582171329,14.5851729929687,34.4568829500698,54.4146882431445,7.55070875354125,28.6901428467613,45.5480129567686
19.6998527099276,39.6065554809116,58.5124339899515,-80.1286241983692,-59.0835713990775,-40.2179985147491,15.3800088924728,34.6445577141163,54.6583171952079,8.18473268823377,46.0284813696969,27.0243731238482
19.1984673879957,38.7304286274296,59.5297139755998,-79.6141456496872,-62.0725840352349,-40.2868523449572,13.9080721375209,34.2096727256316,55.1325406425588,7.82276581753722,29.0130267862149,44.7696301476606
19.7956092114412,38.9467653404456,59.336198740124,-81.1161506840713,-63.1921011353252,-44.7453893785066,14.7935156144831,34.5791780686859,54.4755687119382,26.245369964972,5.85056064812434,44.7768520770762
20.0053087059461,39.9731664518817,59.291255147281,-81.2410144463469,-61.7542434150715,-41.3550855653093,15.6927904570602,34.4952636847026,54.6385405116667,5.78200557703609,26.9068154157089,44.233367323155
19.7625679894553,39.4071505148032,58.2527881031771,-62.3610837672323,-81.2457857694813,-41.3635043510499,16.1054405928453,34.6677049770061,54.7008252492613,5.23259734418413,25.7390277047592,43.8281048858632
21.7928485495452,40.4257025462142,61.75826435606,-80.3106997277676,-61.2412097260152,-40.5704690385016,14.4678066855946,34.2168181644802,54.2406486030814,5.42372126337604,24.9918403743172,44.1000145314861
19.7840608116719,38.9724695915967,58.0086824134091,-80.0844822499617,-60.5675673618089,-39.4286237156909,14.3686394683606,33.9375196707213,55.1437158135502,6.22072218774118,27.1057945500794,43.8256413095621
19.8355694055769,39.0956264500543,58.5223757431993,-81.2045808678684,-61.9627288871934,-40.9061453710885,13.9080430877478,34.6520761894809,55.095240078551,7.4575879846406,25.4324038812122,45.7286907011916
38.8104895419985,19.6732566773583,58.8176586361732,-79.7482644012247,-56.9075131857134,-39.475106952775,14.5961852072215,33.665535268028,54.6802998046107,6.09238154833596,25.3555337657139,44.9554719961137
20.013824510156,39.2205405369819,59.1335490203785,-81.2980459486213,-63.0389068230402,-41.2737300540483,14.3508305006191,34.3069599118167,53.5030603078225,5.93443409639573,27.3386372009975,45.1451549591411
20.6099108251966,39.7592212117063,58.1684678980615,-80.4412269182194,-60.4251663132966,-40.2972613478778,14.3309442335688,54.8000972598849,34.4699946960147,7.05894048807456,26.2911136393762,45.1407794893953
19.9500906934308,39.1653132218914,58.8754393654786,-81.0714337885533,-62.9130251048867,-42.3742534822204,14.7128225250327,34.6061765813622,54.2798054731064,7.75455751848132,26.4564680610694,46.9189620583209
19.58742051125,58.1772094456462,38.8129033419826,-77.9058609726652,-61.4318005140155,-36.8938581360684,15.0102518387317,34.7680866383846,54.09633175433,4.90935276897371,23.5991568337761,43.9824559311839
20.2561987681214,39.4561691266206,59.9235542610169,-79.6339785495074,-56.6098301568826,-43.550246252521,15.6428621621647,35.3898866358895,54.3953498532113,6.62918349715329,26.9579155113271,45.2449918394975
20.0040934783501,39.0465803243384,59.2496087654343,-80.0554146120712,-63.6706394481017,-39.4402655014828,14.7709190204294,34.3920896736049,54.464663563427,5.67464664196222,25.9461999215605,44.6736005225432
19.8795011707882,39.0098767847289,58.7823748311922,-81.8165360715334,-62.0022913516577,-42.0805511936324,14.9316101941526,54.7579663442826,34.3302344655804,4.24224687241254,25.0853078456978,43.6745185976228
19.9731368827304,39.0596969747905,58.9285590331677,-81.8334169942599,-49.0597774261083,-60.6831555643641,14.4385963925481,34.3804874390284,54.517761983373,6.62465741194681,27.2433150602319,46.0294856431388
20.0645345446106,39.7938302289966,57.7787606787443,-78.6915543618052,-60.6685543062991,-38.5601961285131,14.5381222021423,33.8411151319401,54.4826810884746,5.89895362551568,44.8524550473323,25.3720729407816
